iter	Passed	Remaining
399	53064	79596
400	53199	79467
401	53326	79327
402	53452	79184
403	53597	79069
404	53728	78934
405	53847	78781
406	53969	78634
407	54106	78507
408	54236	78370
409	54368	78237
410	54496	78098
411	54620	77953
412	54759	77830
413	54891	77697
414	55014	77550
415	55142	77411
416	55271	77274
417	55402	77138
418	55538	77011
419	55673	76882
420	55808	76753
421	55941	76621
422	56074	76488
423	56197	76343
424	56329	76210
425	56461	76077
426	56596	75947
427	56716	75798
428	56862	75684
429	56984	75537
430	57114	75402
431	57245	75267
432	57367	75121
433	57501	74990
434	57634	74858
435	57764	74723
436	57887	74578
437	58007	74429
438	58142	74301
439	58276	74169
440	58408	74037
441	58542	73906
442	58671	73769
443	58794	73625
444	58929	73496
445	59063	73365
446	59194	73231
447	59329	73102
448	59462	72970
449	59595	72838
450	59726	72704
451	59849	72560
452	59979	72425
453	60105	72285
454	60241	72157
455	60371	72022
456	60502	71887
457	60641	71763
458	60775	71632
459	60896	71487
460	61032	71358
461	61158	71219
462	61288	71083
463	61421	70952
464	61551	70817
465	61683	70684
466	61815	70551
467	61941	70411
468	62077	70284
469	62207	70149
470	62336	70012
471	62466	69877
472	62596	69742
473	62715	69596
474	62847	69462
475	62977	69327
476	63101	69186
477	63228	69048
478	63355	68910
479	63482	68772
480	63620	68646
481	63763	68526
482	63899	68398
483	64030	68264
484	64165	68134
485	64311	68016
486	64437	67877
487	64558	67733
488	64683	67593
489	64814	67460
490	64931	67312
491	65060	67175
492	65185	67036
493	65319	66905
494	65456	66779
495	65594	66652
496	65719	66513
497	65847	66375
498	65976	66240
499	66107	66107
500	66248	65983
501	66365	65836
502	66489	65696
503	66618	65561
504	66752	65431
505	66873	65287
506	67007	65156
507	67134	65020
508	67263	64884
509	67397	64754
510	67536	64628
511	67657	64485
512	67793	64357
513	67923	64223
514	68055	64090
515	68183	63955
516	68316	63823
517	68441	63685
518	68572	63552
519	68693	63409
520	68828	63280
521	68969	63156
522	69115	63036
523	69255	62911
524	69390	62781
525	69509	62637
526	69630	62495
527	69754	62356
528	69885	62223
529	70021	62094
530	70165	61972
531	70299	61842
532	70430	61709
533	70563	61577
534	70690	61441
535	70819	61306
536	70949	61172
537	71092	61050
538	71227	60920
539	71358	60787
540	71493	60656
541	71626	60526
542	71751	60387
543	71884	60255
544	72018	60125
545	72152	59995
546	72284	59862
547	72416	59730
548	72545	59595
549	72686	59470
550	72827	59345
551	72957	59212
552	73092	59082
553	73220	58946
554	73334	58799
555	73458	58661
556	73591	58529
557	73725	58398
558	73851	58261
559	73978	58125
560	74110	57993
561	74242	57861
562	74367	57723
563	74505	57596
564	74638	57465
565	74769	57332
566	74899	57198
567	75030	57065
568	75151	56925
569	75284	56793
570	75415	56660
571	75528	56514
572	75658	56380
573	75792	56250
574	75915	56111
575	76055	55985
576	76188	55853
577	76306	55711
578	76439	55580
579	76572	55448
580	76701	55314
581	76835	55184
582	76961	55048
583	77095	54917
584	77228	54785
585	77366	54658
586	77484	54516
587	77615	54383
588	77749	54253
589	77883	54122
590	78010	53986
591	78146	53857
592	78283	53729
593	78414	53596
594	78553	53469
595	78673	53328
596	78800	53193
597	78932	53061
598	79050	52920
599	79187	52791
600	79313	52655
601	79446	52524
602	79584	52396
603	79725	52270
604	79842	52128
605	79976	51997
606	80108	51865
607	80240	51733
608	80374	51603
609	80499	51466
610	80625	51330
611	80742	51189
612	80877	51059
613	81003	50923
614	81139	50794
615	81264	50658
616	81399	50528
617	81531	50396
618	81661	50263
619	81793	50131
620	81916	49994
621	82057	49867
622	82177	49728
623	82304	49593
624	82432	49459
625	82565	49328
626	82694	49194
627	82820	49059
628	82951	48926
629	83079	48792
630	83214	48662
631	83335	48524
632	83452	48384
633	83588	48254
634	83717	48121
635	83844	47986
636	83977	47855
637	84100	47718
638	84234	47587
639	84363	47454
640	84495	47322
641	84612	47182
642	84742	47050
643	84864	46912
644	84998	46782
645	85133	46652
646	85270	46522
647	85402	46391
648	85524	46254
649	85644	46116
650	85776	45984
651	85910	45854
652	86039	45720
653	86169	45588
654	86295	45453
655	86437	45326
656	86572	45196
657	86694	45060
658	86826	44928
659	86956	44795
660	87094	44667
661	87229	44537
662	87359	44404
663	87477	44265
664	87600	44129
665	87734	43998
666	87852	43860
667	87983	43728
668	88116	43597
669	88249	43466
670	88368	43327
671	88499	43196
672	88637	43067
673	88771	42936
674	88893	42800
675	89034	42673
676	89164	42541
677	89293	42407
678	89418	42273
679	89552	42142
680	89681	42009
681	89799	41871
682	89928	41738
683	90050	41602
684	90183	41471
685	90319	41341
686	90442	41205
687	90566	41070
688	90696	40938
689	90834	40809
690	90952	40671
691	91087	40541
692	91209	40405
693	91345	40276
694	91481	40146
695	91599	40008
696	91734	39878
697	91869	39748
698	92001	39617
699	92120	39480
700	92245	39345
701	92374	39213
702	92506	39081
703	92638	38950
704	92776	38821
705	92896	38685
706	93033	38555
707	93172	38427
708	93300	38293
709	93424	38159
710	93555	38027
711	93678	37892
712	93815	37763
713	93941	37629
714	94066	37494
715	94196	37362
716	94315	37226
717	94437	37090
718	94573	36961
719	94688	36823
720	94825	36693
721	94962	36564
722	95090	36431
723	95223	36300
724	95360	36171
725	95495	36040
726	95626	35909
727	95760	35778
728	95894	35647
729	96013	35511
730	96133	35376
731	96264	35244
732	96389	35110
733	96524	34980
734	96642	34843
735	96773	34712
736	96913	34583
737	97043	34451
738	97166	34317
739	97286	34181
740	97404	34045
741	97540	33915
742	97679	33786
743	97814	33656
744	97954	33527
745	98078	33394
746	98201	33259
747	98335	33129
748	98476	33000
749	98615	32871
750	98746	32740
751	98875	32607
752	99004	32475
753	99142	32346
754	99261	32210
755	99398	32081
756	99528	31948
757	99646	31813
758	99777	31681
759	99917	31552
760	100047	31421
761	100187	31292
762	100310	31158
763	100447	31028
764	100567	30893
765	100696	30761
766	100822	30628
767	100952	30495
768	101082	30364
769	101205	30230
770	101324	30095
771	101456	29963
772	101595	29834
773	101713	29699
774	101849	29569
775	101989	29440
776	102119	29308
777	102262	29180
778	102397	29049
779	102526	28917
780	102663	28787
781	102798	28657
782	102934	28527
783	103058	28393
784	103198	28264
785	103330	28133
786	103464	28002
787	103595	27870
788	103722	27738
789	103854	27606
790	103981	27474
791	104109	27341
792	104228	27207
793	104366	27077
794	104496	26945
795	104615	26810
796	104742	26678
797	104870	26546
798	104997	26413
799	105126	26281
800	105257	26150
801	105394	26020
802	105532	25890
803	105668	25759
804	105793	25627
805	105915	25493
806	106042	25360
807	106163	25226
808	106281	25092
809	106410	24960
810	106551	24831
811	106680	24699
812	106818	24569
813	106954	24439
814	107088	24308
815	107230	24179
816	107359	24047
817	107478	23913
818	107619	23784
819	107749	23652
820	107866	23517
821	108008	23388
822	108129	23255
823	108260	23123
824	108392	22992
825	108526	22861
826	108664	22731
827	108798	22600
828	108934	22470
829	109056	22336
830	109185	22204
831	109310	22072
832	109448	21942
833	109572	21809
834	109701	21677
835	109822	21544
836	109955	21413
837	110087	21281
838	110217	21150
839	110354	21019
840	110491	20889
841	110615	20756
842	110734	20623
843	110872	20492
844	110996	20360
845	111133	20229
846	111263	20098
847	111405	19968
848	111532	19836
849	111664	19705
850	111794	19573
851	111928	19442
852	112057	19311
853	112193	19180
854	112325	19049
855	112462	18918
856	112597	18788
857	112735	18657
858	112866	18526
859	112996	18394
860	113132	18264
861	113255	18131
862	113385	17999
863	113508	17867
864	113646	17736
865	113780	17605
866	113906	17473
867	114038	17342
868	114178	17212
869	114301	17079
870	114431	16947
871	114561	16816
872	114692	16685
873	114824	16553
874	114952	16421
875	115089	16291
876	115226	16160
877	115365	16030
878	115504	15900
879	115633	15768
880	115763	15636
881	115892	15504
882	116019	15372
883	116148	15241
884	116282	15110
885	116415	14978
886	116545	14847
887	116688	14717
888	116818	14585
889	116943	14453
890	117081	14323
891	117203	14190
892	117331	14058
893	117472	13928
894	117598	13796
895	117731	13665
896	117869	13534
897	117999	13403
898	118137	13272
899	118272	13141
900	118409	13010
901	118552	12880
902	118695	12750
903	118834	12619
904	118979	12489
905	119123	12359
906	119260	12228
907	119390	12096
908	119505	11963
909	119638	11832
910	119771	11701
911	119902	11569
912	120017	11436
913	120156	11305
914	120287	11174
915	120415	11042
916	120548	10911
917	120672	10779
918	120805	10647
919	120940	10516
920	121068	10384
921	121202	10253
922	121332	10122
923	121465	9990
924	121604	9859
925	121732	9728
926	121860	9596
927	121992	9464
928	122119	9333
929	122252	9201
930	122391	9070
931	122523	8939
932	122655	8808
933	122780	8676
934	122913	8544
935	123040	8413
936	123171	8281
937	123299	8149
938	123421	8017
939	123537	7885
940	123671	7754
941	123807	7622
942	123935	7491
943	124055	7359
944	124186	7227
945	124319	7096
946	124454	6965
947	124596	6834
948	124733	6703
949	124870	6572
950	125003	6440
951	125130	6309
952	125270	6178
953	125405	6046
954	125531	5915
955	125665	5783
956	125795	5652
957	125920	5520
958	126051	5389
959	126191	5257
960	126324	5126
961	126453	4995
962	126577	4863
963	126700	4731
964	126829	4600
965	126954	4468
966	127074	4336
967	127201	4205
968	127337	4073
969	127469	3942
970	127588	3810
971	127729	3679
972	127852	3547
973	127968	3416
974	128084	3284
975	128206	3152
976	128340	3021
977	128467	2889
978	128597	2758
979	128729	2627
980	128858	2495
981	128992	2364
982	129124	2233
983	129260	2101
984	129383	1970
985	129519	1839
986	129642	1707
987	129779	1576
988	129911	1444
989	130029	1313
990	130150	1181
991	130271	1050
992	130402	919
993	130528	787
994	130646	656
995	130778	525
996	130921	393
997	131050	262
998	131172	131
999	131306	0
