iter	Recall	Logloss
0	0.9420227747	0.6465772527
1	0.9461208604	0.6089463501
2	0.9483018061	0.5710307277
3	0.947364386	0.5391045122
4	0.9473261797	0.4984725796
5	0.9483236383	0.4681140151
6	0.9473848537	0.4488095622
7	0.9462095537	0.4231220631
8	0.945861603	0.4064931799
9	0.9449523829	0.3909404201
10	0.9467385297	0.370490089
11	0.945861603	0.3570618132
12	0.9444657068	0.3384892753
13	0.943650638	0.3268577057
14	0.9434809836	0.3160645372
15	0.9435005416	0.3012999365
16	0.9434441418	0.2919062198
17	0.9434450515	0.2794016961
18	0.9434327709	0.2711940419
19	0.9449159959	0.2608831776
20	0.9426167924	0.2524745787
21	0.9441200303	0.2437078436
22	0.944109569	0.2363398186
23	0.9441204851	0.2291003185
24	0.9441436818	0.222598782
25	0.9441364044	0.2167277264
26	0.9442405622	0.2114506985
27	0.9442542073	0.2058272607
28	0.9445275647	0.2013504195
29	0.9445166486	0.1971995021
30	0.9453553689	0.1924521816
31	0.9456532874	0.1882024257
32	0.9457610839	0.1845309969
33	0.9457610839	0.1810376281
34	0.9457924677	0.1777930473
35	0.945844774	0.1744802877
36	0.9457801871	0.1714372774
37	0.9462213795	0.1677988952
38	0.9461367797	0.1652920578
39	0.9469304711	0.1622168583
40	0.9469327453	0.1594194148
41	0.9469459356	0.1571325482
42	0.9471551608	0.1541253422
43	0.9486447536	0.1521064173
44	0.9496608605	0.1494146372
45	0.9496485799	0.1457132208
46	0.9496490347	0.1440123404
47	0.9495703478	0.1420692767
48	0.9496253832	0.139922696
49	0.9496121929	0.1384438837
50	0.9503717715	0.1364931493
51	0.9503940585	0.1348734718
52	0.9504181649	0.1331202639
53	0.9505964612	0.1315986254
54	0.9506064676	0.1285784765
55	0.9506705997	0.1272344694
56	0.9506655965	0.126201485
57	0.9505719	0.1252218827
58	0.9505796322	0.1231211524
59	0.9505800871	0.1220608454
60	0.9505591645	0.121118855
61	0.9505709903	0.1194405929
62	0.9514888523	0.1185875456
63	0.9514993136	0.1170732882
64	0.9515075007	0.1158767625
65	0.9514974943	0.1150367508
66	0.9515266039	0.1138878831
67	0.9515134136	0.1126073157
68	0.951503862	0.1119256311
69	0.9515029523	0.1109620074
70	0.9515052265	0.110039414
71	0.951489762	0.1085913077
72	0.9514802104	0.1077551198
73	0.951778129	0.1069250498
74	0.9518208837	0.1059525157
75	0.9518495385	0.1050417411
76	0.9518422611	0.1044214917
77	0.9518463546	0.1039531152
78	0.9524599304	0.1031401131
79	0.9525049593	0.1022158743
80	0.9525468043	0.1015705849
81	0.952550443	0.1009611579
82	0.9525490785	0.1004655863
83	0.9527937811	0.09974370576
84	0.9527050878	0.09941889428
85	0.952695991	0.09875289865
